statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Arizona,5,Japan,545.16,635.77,604.33,753.25,2.4064,2.8894,2.8892,3.3645,24.64
Arizona,6,Germany,829.95,726.49,692.18,746.58,3.6635,3.3017,3.3092,3.3347,7.86
Arizona,7,Netherlands,423.7,419.18,377.85,612.73,1.8703,1.9051,1.8064,2.7368,62.16
Arizona,8,Thailand,602.1,493.68,545.94,583.24,2.6578,2.2437,2.61,2.6051,6.83
Arizona,9,France,464,471.28,470,566.7,2.0482,2.1419,2.247,2.5312,20.57
Arizona,10,Singapore,406.19,525.66,512.47,551.88,1.793,2.389,2.45,2.465,7.69
Arizona,11,Hong Kong,420.42,386.91,425.49,520.4,1.8558,1.7584,2.0342,2.3244,22.3
Arizona,12,Taiwan,430.59,396.21,492.95,505.54,1.9007,1.8007,2.3567,2.258,2.55
Arizona,13,Brazil,435.29,439.98,389.1,500.98,1.9214,1.9996,1.8602,2.2377,28.75
Arizona,14,Malaysia,388.86,407.46,335.37,444.46,1.7165,1.8518,1.6034,1.9852,32.53
Arizona,15,Saudi Arabia,248.24,250.11,271.55,386.22,1.0958,1.1367,1.2982,1.7251,42.23
Arizona,16,"Korea, South",364.4,1306.21,349.72,371.25,1.6085,5.9365,1.6719,1.6582,6.16
Arizona,17,Israel,252.75,220.68,280.09,351.97,1.1157,1.0029,1.339,1.5721,25.67
Arizona,18,Australia,225.08,240.9,242.22,308.93,0.9935,1.0948,1.158,1.3799,27.54
Arizona,19,United Arab Emirates,202.74,284,575.26,290.87,0.8949,1.2907,2.7502,1.2992,-49.44
Arizona,20,Ireland,255.63,243.96,184.57,229.18,1.1284,1.1087,0.8824,1.0237,24.17
Arizona,21,Switzerland,234.05,221.38,247.93,210.05,1.0331,1.0061,1.1853,0.9382,-15.28
Arizona,22,Italy,345.4,156.84,170.77,201.3,1.5247,0.7128,0.8164,0.8991,17.88
Arizona,23,Turkey,41,54.22,128.37,183.93,0.181,0.2464,0.6137,0.8216,43.29
Arizona,24,India,102.72,114.4,157.46,131.36,0.4534,0.5199,0.7528,0.5867,-16.58
Arizona,25,Colombia,37.13,27.65,20.58,123.64,0.1639,0.1257,0.0984,0.5523,500.77
Arkansas,0,World,5870.91,5721.72,6234.39,6466.44,0.3905,0.3943,0.4032,0.3886,3.72
Arkansas,0,Top 25,4886.01,4724.44,5284.13,5449.54,83.224,82.5703,84.7578,84.2742,3.13
Arkansas,1,Canada,1205.91,1163.64,1256.43,1207.21,20.5405,20.3372,20.1532,18.6688,-3.92
Arkansas,2,Mexico,843.82,684.82,850.55,869.54,14.3729,11.9687,13.6429,13.4469,2.23
Arkansas,3,Saudi Arabia,60.24,56.04,76.06,397.33,1.026,0.9794,1.22,6.1445,422.38
Arkansas,4,France,464.94,783.24,728.11,325.66,7.9194,13.689,11.6789,5.0362,-55.27
Arkansas,5,China,202.61,274.65,367.89,314.61,3.451,4.8002,5.901,4.8653,-14.48
Arkansas,6,"Korea, South",154.21,145.93,142.46,230.16,2.6266,2.5504,2.285,3.5593,61.56
