statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Arizona,5,Germany,778.47,875.3,814.73,870.96,3.9413,4.455,3.9653,3.8782,6.9
Arizona,6,Malaysia,750.73,677.81,504.63,728.04,3.8009,3.4498,2.456,3.2418,44.27
Arizona,7,United Kingdom,670.22,561.26,633.4,608.71,3.3932,2.8566,3.0827,2.7104,-3.9
Arizona,8,Taiwan,489.75,468.31,533.84,547.03,2.4795,2.3835,2.5982,2.4358,2.47
Arizona,9,Netherlands,443.2,593.72,289.3,516.45,2.2439,3.0218,1.408,2.2996,78.52
Arizona,10,Italy,489.26,565.01,500.02,411.62,2.4771,2.8757,2.4336,1.8329,-17.68
Arizona,11,Thailand,219.96,245.43,269.67,314.13,1.1136,1.2491,1.3125,1.3987,16.49
Arizona,12,France,437.71,457.12,688.94,314.07,2.216,2.3266,3.353,1.3985,-54.41
Arizona,13,Peru,16.8,9.86,55.12,298.21,0.085,0.0502,0.2683,1.3278,440.99
Arizona,14,India,224.4,213.93,238.36,246.61,1.1361,1.0888,1.1601,1.0981,3.46
Arizona,15,Brazil,500.14,874.48,427.99,226.08,2.5321,4.4508,2.083,1.0067,-47.18
Arizona,16,"Korea, South",307.03,193.6,177.01,220.67,1.5544,0.9853,0.8615,0.9826,24.66
Arizona,17,Vietnam,117.77,131.73,172.41,214.38,0.5962,0.6705,0.8391,0.9546,24.35
Arizona,18,Singapore,211.16,200.32,239.82,194.28,1.0691,1.0195,1.1672,0.8651,-18.99
Arizona,19,Ireland,82.17,126.9,79.29,156.16,0.416,0.6459,0.3859,0.6953,96.93
Arizona,20,Czech Republic,210.17,174.7,192.83,124.15,1.0641,0.8891,0.9385,0.5528,-35.62
Arizona,21,Israel,77.75,114.16,118.98,117.74,0.3936,0.581,0.5791,0.5243,-1.05
Arizona,22,Philippines,91.37,90.13,88.87,109.42,0.4626,0.4587,0.4325,0.4872,23.13
Arizona,23,Switzerland,71.79,98.14,119.53,98.45,0.3635,0.4995,0.5818,0.4384,-17.64
Arizona,24,Spain,85.13,89.55,83.92,96.38,0.431,0.4558,0.4085,0.4291,14.84
Arizona,25,Australia,91.14,92.62,94.14,81.71,0.4614,0.4714,0.4582,0.3638,-13.21
Arkansas,0,World,7911.66,7828.88,9293.93,11523.54,0.3518,0.3579,0.3968,0.4532,23.99
Arkansas,0,Top 25,7458.11,7385.1,8829.76,10955.71,94.2673,94.3314,95.0056,95.0724,24.08
Arkansas,1,China,2576.05,3058.59,3833.35,5167.37,32.5602,39.068,41.2457,44.8419,34.8
Arkansas,2,France,1682.01,1414.81,1334.1,1318.3,21.2599,18.0717,14.3545,11.44,-1.18
Arkansas,3,Mexico,637.77,597.34,661.27,904.18,8.0612,7.6299,7.1151,7.8464,36.73
Arkansas,4,Canada,799.57,752.73,791.34,898.64,10.1063,9.6148,8.5146,7.7983,13.56
Arkansas,5,Germany,419.98,308.54,251.5,321.15,5.3084,3.9411,2.7061,2.7869,27.7
Arkansas,6,Vietnam,92.24,105.91,180.31,295.9,1.1659,1.3528,1.9401,2.5678,64.11
Arkansas,7,India,236.63,183.06,490.93,251.76,2.9909,2.3382,5.2822,2.1847,-48.72
Arkansas,8,Japan,100.84,131.87,203.41,236.41,1.2745,1.6844,2.1886,2.0516,16.23
Arkansas,9,Indonesia,32.35,27.78,96.95,179.96,0.4089,0.3548,1.0431,1.5617,85.63
Arkansas,10,Taiwan,141.75,143.54,151.23,153.22,1.7917,1.8334,1.6272,1.3296,1.32
Arkansas,11,United Kingdom,92.57,58.69,94.34,136.91,1.1701,0.7497,1.0151,1.188,45.11
Arkansas,12,Italy,117.13,96.78,134.54,132.77,1.4805,1.2362,1.4476,1.1522,-1.31
Arkansas,13,Bangladesh,40.62,49.61,47.65,129.19,0.5135,0.6336,0.5127,1.1211,171.1
Arkansas,14,Cambodia,14.59,21.6,58.32,120.68,0.1844,0.2759,0.6276,1.0472,106.9
Arkansas,15,Thailand,38.2,46.92,86.52,106.88,0.4829,0.5993,0.9309,0.9275,23.53
Arkansas,16,Singapore,5.83,13.15,26.59,90.16,0.0736,0.1679,0.2861,0.7824,239.02
Arkansas,17,Malaysia,67.05,60.57,81.39,85.22,0.8475,0.7737,0.8757,0.7395,4.71
Arkansas,18,Israel,35.34,32.12,46.22,68.86,0.4467,0.4103,0.4973,0.5976,48.98
Arkansas,19,"Korea, South",129.36,91.64,39.89,58.76,1.6351,1.1706,0.4292,0.5099,47.3
Arkansas,20,Pakistan,41.4,42.82,44.99,55.33,0.5232,0.547,0.4841,0.4802,22.99
Arkansas,21,Australia,28.53,17.01,42.7,52.42,0.3606,0.2173,0.4594,0.4549,22.75
Arkansas,22,Netherlands,44.11,46.8,33.39,50.54,0.5575,0.5978,0.3593,0.4386,51.36
