"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"7409","Ukraine",2020-12-15,48,934161,79107,16038,1625,21360.1,1808.8,366.7,37.2,37,37
"7436","United Arab Emirates",2020-12-15,48,187267,8430,622,26,18935,852.4,62.9,2.6,38,36
"7509","Uruguay",2020-12-15,48,10418,2612,98,12,2998.8,751.9,28.2,3.5,38,34
"7526","USA",2020-12-15,48,16716777,1485506,303773,17438,50503.4,4487.9,917.7,52.7,40,40
"7586","Uzbekistan",2020-12-15,48,75241,1035,612,1,2248.1,30.9,18.3,0,37,32
"7608","Vanuatu",2020-12-15,48,1,0,0,0,3.3,0,0,0,0,0
"7628","Venezuela",2020-12-15,48,108480,3096,965,37,3814.9,108.9,33.9,1.3,37,34
"7690","Vietnam",2020-12-15,48,1405,28,35,0,14.4,0.3,0.4,0,38,18
"7712","West Bank and Gaza",2020-12-15,48,113409,12300,1023,156,23626.9,2562.5,213.1,32.5,37,23
"7767","Yemen",2020-12-15,48,2085,7,606,0,69.9,0.2,20.3,0,30,31
"7797","Zambia",2020-12-15,48,18428,465,368,4,1002.4,25.3,20,0.2,32,27
"7833","Zimbabwe",2020-12-15,48,11522,610,310,7,775.2,41,20.9,0.5,28,22
