,statename,rank,countryd,val2015,val2016,val2017,val2018,val2019,val2020,share15,share16,share17,share18,share19,share20,change
43,Arizona,0,World,22654.21,22003.21,20916.89,22388.34,24669.04,19718.38,1.5069,1.5164,1.3527,1.3454,1.5013,1.3773,7.03
44,Arizona,0,Top 25,21050.43,20514.39,19371.78,20494.36,22502.01,18109.01,92.9206,93.2336,92.6131,91.5403,91.2156,91.8382,5.79
45,Arizona,1,Mexico,9162,8285.2,7576.16,7649.76,8186.53,6991.19,40.4428,37.6545,36.2203,34.1685,33.1855,35.4552,0.97
46,Arizona,2,Canada,2303.25,2138.14,2154.11,2148.06,2199.43,1901.16,10.167,9.7174,10.2984,9.5946,8.9158,9.6416,-0.28
47,Arizona,3,China,1263.4,1210.33,1190.04,1193.59,1087.08,881.84,5.5769,5.5007,5.6894,5.3313,4.4066,4.4722,0.3
48,Arizona,4,United Kingdom,1066.39,857.75,977.27,928.49,830.95,598.71,4.7072,3.8983,4.6722,4.1472,3.3684,3.0363,-4.99
49,Arizona,5,Japan,545.16,635.77,604.33,753.25,806.95,645.95,2.4064,2.8894,2.8892,3.3645,3.2711,3.2759,24.64
50,Arizona,6,Germany,829.95,726.49,692.18,746.58,744.39,442.16,3.6635,3.3017,3.3092,3.3347,3.0175,2.2424,7.86
51,Arizona,7,Netherlands,423.7,419.18,377.85,612.73,783.1,688.97,1.8703,1.9051,1.8064,2.7368,3.1744,3.4941,62.16
52,Arizona,8,Thailand,602.1,493.68,545.94,583.24,532.11,418.1,2.6578,2.2437,2.61,2.6051,2.157,2.1204,6.83
53,Arizona,9,France,464,471.28,470,566.7,682.37,449.59,2.0482,2.1419,2.247,2.5312,2.7661,2.28,20.57
54,Arizona,10,Singapore,406.19,525.66,512.47,551.88,536.65,541.44,1.793,2.389,2.45,2.465,2.1754,2.7458,7.69
55,Arizona,11,Hong Kong,420.42,386.91,425.49,520.4,575.27,360.76,1.8558,1.7584,2.0342,2.3244,2.3319,1.8296,22.3
56,Arizona,12,Taiwan,430.59,396.21,492.95,505.54,505.21,512.64,1.9007,1.8007,2.3567,2.258,2.0479,2.5998,2.55
57,Arizona,13,Brazil,435.29,439.98,389.1,500.98,559.1,376.98,1.9214,1.9996,1.8602,2.2377,2.2664,1.9118,28.75
58,Arizona,14,Malaysia,388.86,407.46,335.37,444.46,500.92,421.31,1.7165,1.8518,1.6034,1.9852,2.0306,2.1367,32.53
59,Arizona,15,Saudi Arabia,248.24,250.11,271.55,386.22,427.95,356.48,1.0958,1.1367,1.2982,1.7251,1.7347,1.8079,42.23
60,Arizona,16,"Korea, South",364.4,1306.21,349.72,371.25,472.36,409.59,1.6085,5.9365,1.6719,1.6582,1.9148,2.0772,6.16
61,Arizona,17,Israel,252.75,220.68,280.09,351.97,436.59,357.8,1.1157,1.0029,1.339,1.5721,1.7698,1.8145,25.67
62,Arizona,18,Australia,225.08,240.9,242.22,308.93,296.56,304.96,0.9935,1.0948,1.158,1.3799,1.2021,1.5466,27.54
63,Arizona,19,United Arab Emirates,202.74,284,575.26,290.87,532.58,169.7,0.8949,1.2907,2.7502,1.2992,2.1589,0.8606,-49.44
64,Arizona,20,Ireland,255.63,243.96,184.57,229.18,260.55,273.87,1.1284,1.1087,0.8824,1.0237,1.0562,1.3889,24.17
65,Arizona,21,Switzerland,234.05,221.38,247.93,210.05,246.09,225.85,1.0331,1.0061,1.1853,0.9382,0.9976,1.1454,-15.28
66,Arizona,22,Italy,345.4,156.84,170.77,201.3,181.91,171.31,1.5247,0.7128,0.8164,0.8991,0.7374,0.8688,17.88
67,Arizona,24,India,102.72,114.4,157.46,131.36,816.12,321.17,0.4534,0.5199,0.7528,0.5867,3.3083,1.6288,-16.58
68,Arkansas,0,World,5870.91,5721.72,6234.39,6466.44,6231.63,5196.83,0.3905,0.3943,0.4032,0.3886,0.3792,0.363,3.72
69,Arkansas,0,Top 25,4886.01,4724.44,5284.13,5449.54,5279.52,4591.6,83.224,82.5703,84.7578,84.2742,84.7213,88.3538,3.13
70,Arkansas,1,Canada,1205.91,1163.64,1256.43,1207.21,1536.36,1147.88,20.5405,20.3372,20.1532,18.6688,24.6543,22.088,-3.92
71,Arkansas,2,Mexico,843.82,684.82,850.55,869.54,745.12,712.45,14.3729,11.9687,13.6429,13.4469,11.957,13.7094,2.23
72,Arkansas,3,Saudi Arabia,60.24,56.04,76.06,397.33,57.01,40.76,1.026,0.9794,1.22,6.1445,0.9149,0.7843,422.38
73,Arkansas,4,France,464.94,783.24,728.11,325.66,711.01,672.76,7.9194,13.689,11.6789,5.0362,11.4096,12.9456,-55.27
74,Arkansas,5,China,202.61,274.65,367.89,314.61,191.23,277.72,3.451,4.8002,5.901,4.8653,3.0687,5.3441,-14.48
75,Arkansas,6,"Korea, South",154.21,145.93,142.46,230.16,123.46,79.27,2.6266,2.5504,2.285,3.5593,1.9811,1.5254,61.56
76,Arkansas,7,United Kingdom,169.63,142.82,249.74,205.58,139.92,168.23,2.8894,2.496,4.0059,3.1791,2.2453,3.2371,-17.68
77,Arkansas,8,Belgium,133.57,125.98,90.88,195.7,152.31,78.35,2.2751,2.2018,1.4577,3.0264,2.4441,1.5077,115.34
78,Arkansas,9,Hong Kong,100.49,112.57,122.16,179.19,141.96,54.55,1.7117,1.9674,1.9594,2.7711,2.278,1.0497,46.69
79,Arkansas,10,Japan,531.55,280.68,192.29,167.55,371.9,171.19,9.0539,4.9055,3.0843,2.591,5.9679,3.2941,-12.87
80,Arkansas,11,Switzerland,6.05,71.15,160.48,125.23,38.48,63.91,0.1031,1.2435,2.5741,1.9366,0.6175,1.2298,-21.96
81,Arkansas,12,Germany,102.63,77.28,89.77,123.47,100,70.45,1.7481,1.3506,1.4399,1.9094,1.6047,1.3557,37.55
82,Arkansas,13,Haiti,44.5,50.79,118.05,123.27,100.22,107.18,0.758,0.8878,1.8935,1.9063,1.6082,2.0625,4.43
83,Arkansas,14,Taiwan,77.93,70.16,68.46,116.44,94.09,79.06,1.3275,1.2262,1.0981,1.8007,1.5099,1.5214,70.08
84,Arkansas,15,Singapore,251.45,184.35,130.42,109.76,93.15,69.57,4.283,3.222,2.092,1.6974,1.4949,1.3387,-15.85
85,Arkansas,16,Australia,89.28,144.77,79.9,106.08,101.56,124.03,1.5208,2.5302,1.2816,1.6405,1.6298,2.3866,32.77
86,Arkansas,17,Netherlands,118.7,99.61,137.39,103.61,96.67,234.78,2.0219,1.741,2.2037,1.6022,1.5512,4.5178,-24.59
87,Arkansas,19,Brazil,132.82,59.96,116.57,78.34,126.62,136.99,2.2624,1.048,1.8698,1.2116,2.0319,2.6361,-32.79
88,Arkansas,21,Guatemala,67.65,71.65,73.54,70,74.01,39.12,1.1524,1.2523,1.1795,1.0825,1.1876,0.7528,-4.8
89,California,0,World,165360.38,163438.92,172012.42,178404.77,174026.01,156112.25,10.9996,11.2637,11.1243,10.7209,10.5909,10.9044,3.72
90,California,0,Top 25,146633.22,145010.96,153536.91,159465.24,154914.57,139655.33,88.6749,88.7249,89.2592,89.384,89.0181,89.4583,3.86
91,California,1,Mexico,26787.59,25260.27,26771.8,30738.73,27964.75,24078.09,16.1995,15.4555,15.5639,17.2298,16.0693,15.4236,14.82
92,California,2,Canada,17262.18,16232.79,16842.02,17750.23,16696.34,15922.7,10.4391,9.932,9.7912,9.9494,9.5942,10.1995,5.39
93,California,3,China,14384.35,14322.97,16433.1,16345.09,15847.82,15021.69,8.6988,8.7635,9.5534,9.1618,9.1066,9.6224,-0.54
94,California,4,Japan,11743.01,11765.13,12830.45,13099.54,11887.06,10650.74,7.1015,7.1985,7.459,7.3426,6.8306,6.8225,2.1
95,California,5,"Korea, South",8683.48,8210.24,9601.9,9942.21,9198.77,9783.94,5.2512,5.0234,5.5821,5.5728,5.2859,6.2672,3.54
96,California,6,Hong Kong,8761.23,9661.92,12108.99,9905.79,8423.69,6330.26,5.2983,5.9116,7.0396,5.5524,4.8405,4.0549,-18.19
97,California,7,Taiwan,7727.41,6983.14,6313.26,6824.24,7223.68,7396.93,4.6731,4.2726,3.6702,3.8251,4.1509,4.7382,8.09
98,California,8,Germany,5344.33,5351.07,6003.28,6594.37,6438.67,6476.86,3.2319,3.274,3.49,3.6963,3.6998,4.1488,9.85
99,California,9,Netherlands,5634.23,5458.36,5785.3,6433.77,6408.74,5673.13,3.4072,3.3397,3.3633,3.6063,3.6826,3.634,11.21
100,California,10,India,4568.4,5129.31,5014.21,6117.42,5636.31,4974.37,2.7627,3.1384,2.915,3.429,3.2388,3.1864,22
